ID,author_name,COMMIT_HASH,R_429,R_431,R_433,R_449,R_3271,R_3870,R_3871,R_3897,R_3916,R_3918,R_3952,R_3967,R_3983,R_4004,R_4023,R_4025,R_4027,R_4042,R_4045,R_4046,R_4051,R_4058,R_4080,R_4524,R_4529,R_4574,R_4577,R_4579,R_4580,R_4581,R_4586,R_4598,R_4599,R_4614,R_4616,R_4622,R_4626,R_4639,R_4643,R_4645,R_4656,R_4658,R_4665,R_4671,R_4674,R_4676,R_4678,R_4679,R_4681,R_4682,R_4684,R_4687,R_4689,R_4693,R_4697,R_4700,R_4701,R_4705,R_4706,R_4714,R_4722,R_4725,R_4730,R_4732,R_4733,R_4747,R_4748,R_4749
2,Matt Mullenweg,9c9a8874fd6f0e2eff954cc3ef2ed9c0dcc3c7ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Matt Mullenweg,c5b475e13b3e1332600e33e5f8fbe2058f3038d0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0
8,Mike Little,267bca49b83e9ee062232283b32bc479363398b3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1
12,Mike Little,8291c81051bc43738f889f97793d1dd9c47982d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,Matt Mullenweg,e539444bfdfa23c0ec1d1a12002929fba01ff7e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Matt Mullenweg,cb1635ed63c2b0274b925e3c310f45c15b1d9d78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,Mike Little,e14a5d0f5507f4ad5a59d44f9f5b8ddb7edce92e,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
23,Mike Little,13152d4f423ed4c1684f82deba2e4817f9639579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Matt Mullenweg,50316978bf2628adb66c9019a6a6583a72af1342,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
36,Mike Little,46cb4a07cfe1fc2c68b2a9ede05f92753eb44ce2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
