ID,CS,SQI
2,9,53
3,804,4046
4,804,4046
5,804,4046
6,803,4044
7,803,4044
8,1316,7193
9,1316,7193
10,1316,7193
11,1316,7193
12,1331,7243
13,1333,7247
14,1335,7254
15,1335,7254
16,1329,7234
17,1329,7234
18,1329,7234
19,1329,7234
20,1329,7234
21,1597,8594
22,1597,8594
23,1605,8624
24,1614,8737
25,1614,8737
26,1614,8737
27,1614,8737
28,1614,8737
29,1614,8737
30,1601,8676
31,1597,8654
32,1593,8634
33,1586,8591
34,1586,8591
35,1586,8591
36,1587,8596
37,1587,8596
38,2315,12763
39,2315,12763
40,1521,8199
41,1517,8169
42,1517,8169
43,1518,8174
44,1535,8275
45,1565,8421
46,1580,8541
47,1580,8541
48,1579,8536
49,1563,8456
50,1563,8456
51,1563,8456
52,1564,8461
53,1564,8461
54,1557,8433
55,1557,8433
56,1557,8433
57,1557,8433
58,1556,8428
59,1556,8428
60,1546,8391
61,1546,8391
62,1546,8391
63,1566,8537
64,1566,8537
65,1566,8537
66,1548,8447
67,1548,8447
68,1546,8437
69,1546,8437
70,1547,8439
71,1544,8424
72,1489,8094
73,1489,8094
74,1489,8094
75,1489,8094
76,1495,8138
77,1495,8138
78,1495,8141
79,1494,8136
80,1494,8136
81,1489,8086
82,1489,8086
83,1487,8058
84,1484,8046
85,1485,8051
86,1485,8051
87,1485,8051
88,1485,8051
89,1485,8051
90,1485,8051
91,1485,8051
92,1482,8040
93,1479,8032
94,1479,8032
95,1479,8032
96,1477,8022
97,1478,8027
98,1478,8027
99,1478,8027
100,1478,8027
101,1477,8022
102,1477,8022
103,1477,8022
104,1476,8020
105,1476,8020
106,1476,8020
107,1476,8020
108,1476,8020
109,1476,8020
110,1478,8024
111,1479,8026
112,1484,8049
113,1484,8049
114,1480,7965
115,1479,7951
116,1470,7882
117,1470,7882
118,1487,7971
119,1487,7971
120,1487,7971
121,1487,7971
122,1484,7956
123,1477,7865
124,1477,7865
125,1472,7850
126,1453,7755
127,1450,7711
128,1445,7658
129,1445,7658
130,1429,7620
131,1429,7620
132,1429,7620
133,1428,7599
134,1427,7589
135,1427,7589
136,1422,7564
137,1419,7536
138,1419,7536
139,1417,7532
140,1417,7532
141,1418,7540
142,1419,7542
143,1434,7596
144,1434,7596
145,1432,7587
146,1432,7587
147,1432,7587
148,1432,7587
149,1432,7587
150,1432,7587
151,1431,7582
152,1431,7582
153,1430,7580
154,1430,7580
155,1430,7580
156,1430,7580
157,1430,7580
158,1430,7580
159,1431,7582
160,1432,7584
161,1432,7584
162,1433,7585
163,1433,7585
164,1429,7545
165,1418,7490
166,1418,7490
167,1423,7506
168,1423,7506
169,1423,7506
170,1424,7507
171,1424,7507
172,1424,7507
173,1424,7507
174,1424,7507
175,1426,7517
176,1426,7517
177,1426,7517
178,1428,7542
179,1428,7542
180,1428,7542
181,1428,7542
182,1428,7542
183,1428,7542
184,1439,7564
185,1440,7566
186,1440,7566
187,1440,7566
188,1440,7566
189,1437,7542
190,1436,7539
191,1436,7540
192,1435,7535
193,1336,7053
194,1434,7533
195,1434,7533
196,1434,7533
197,1430,7513
198,1428,7485
199,1456,7619
200,1460,7633
201,1460,7633
202,1460,7633
203,1460,7633
204,1460,7633
205,1461,7641
206,1461,7641
207,1461,7641
208,1503,7912
209,1503,7913
210,1501,7886
211,1501,7886
212,1501,7896
213,1502,7898
214,1503,7903
215,1500,7888
216,1500,7890
217,1500,7890
218,1500,7890
219,1501,7891
220,1502,7893
221,1502,7893
222,1501,7883
223,1501,7897
224,1501,7897
225,1501,7897
226,1501,7897
227,1501,7897
228,1501,7897
229,1501,7897
230,1506,7939
231,1506,7939
232,1506,7939
233,1512,7985
234,1512,7985
