author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,9c9a8874fd6f0e2eff954cc3ef2ed9c0dcc3c7ce,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Matt Mullenweg,c5b475e13b3e1332600e33e5f8fbe2058f3038d0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
Mike Little,267bca49b83e9ee062232283b32bc479363398b3,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
Mike Little,8291c81051bc43738f889f97793d1dd9c47982d6,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0
Matt Mullenweg,e539444bfdfa23c0ec1d1a12002929fba01ff7e7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,cb1635ed63c2b0274b925e3c310f45c15b1d9d78,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Mike Little,e14a5d0f5507f4ad5a59d44f9f5b8ddb7edce92e,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
Mike Little,13152d4f423ed4c1684f82deba2e4817f9639579,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
Matt Mullenweg,50316978bf2628adb66c9019a6a6583a72af1342,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Mike Little,46cb4a07cfe1fc2c68b2a9ede05f92753eb44ce2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,316db55cda6252be0b0520aeef166eed0bdb883b,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
Matt Mullenweg,79d7f213ec2388ec3941699e7be11a9ebc18d638,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,34f4a5756848b26e36ffe6bce864541efed004c5,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1
Matt Mullenweg,3c8a505290bc81bd34b5987844d6601da6e675c7,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
Matt Mullenweg,b3d545d58aec9b3568f5e83df5e2d7431a09bcde,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
Matt Mullenweg,ee8991d497cc32ce35560c1975c16739597d3a13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt Mullenweg,76fe5688f8fa315ff0842bfaa93c91870348deed,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1
Mike Little,9321ffb37208c3e2313250fdd41e0b3739e99fe9,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,4d92de3834be4510f8f96fa4050ec43cafb07ea9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
